symbol,companyName,sector,industry,mcap_tier,marketCap_B,beta,close_today,ret_1D,ret_3D,ret_1W,dollar_vol_M
ALGM,"Allegro MicroSystems, Inc.",Technology,Semiconductors,L3 · Mid $5B-$30B,9.52,2.017,53.11,5.52,10.95,8.39,152.8
WDC,Western Digital Corporation,Technology,Computer Hardware,L1 · Mega ≥$100B,183.09,2.158,594.11,5.51,11.84,11.97,4293.4
BTDR,Bitdeer Technologies Group,Technology,Software - Application,L4 · Small $1B-$5B,4.29,2.317,19.71,5.06,12.69,26.83,277.1
ONT,"Onterris, Inc.",Industrials,Environmental Services,L5 · Micro <$1B,0.57,1.826,16.5,5.03,3.06,6.93,7.7
CRUS,"Cirrus Logic, Inc.",Technology,Semiconductors,L3 · Mid $5B-$30B,8.82,1.154,178.9,4.85,5.27,3.06,80.5
CYRX,"Cryoport, Inc.",Industrials,Integrated Freight & Logistics,L5 · Micro <$1B,0.77,1.749,16.5,4.83,5.16,17.69,28.1
ADEA,Adeia Inc.,Technology,Software - Application,L4 · Small $1B-$5B,3.0,1.055,32.05,4.53,19.95,13.45,125.8
INTC,Intel Corporation,Technology,Semiconductors,L1 · Mega ≥$100B,607.59,2.19,112.71,4.43,-1.72,-7.44,13137.3
TER,"Teradyne, Inc.",Technology,Semiconductors,L2 · Large $30B-$100B,59.9,1.793,409.67,4.34,9.45,9.0,1268.6
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,L1 · Mega ≥$100B,1612.63,1.243,622.98,4.24,-1.51,-1.93,12675.6
SVCO,"Silvaco Group, Inc. Common Stock",Technology,Software - Application,L5 · Micro <$1B,0.32,0.88,12.68,4.19,31.26,29.39,27.3
ODD,Oddity Tech Ltd.,Technology,Software - Infrastructure,L5 · Micro <$1B,0.75,2.578,10.25,4.17,-24.13,-16.46,43.1
ON,ON Semiconductor Corporation,Technology,Semiconductors,L2 · Large $30B-$100B,48.51,1.938,133.93,4.11,11.03,7.24,1285.8
BELFB,Bel Fuse Inc.,Technology,"Hardware, Equipment & Parts",L4 · Small $1B-$5B,3.35,1.423,280.09,4.04,2.03,-0.01,80.0
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,L1 · Mega ≥$100B,844.8,2.399,542.52,4.02,5.12,9.48,15571.2
MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,L2 · Large $30B-$100B,80.24,1.742,1689.89,3.99,7.9,4.3,715.5
KLAC,KLA Corporation,Technology,Semiconductors,L1 · Mega ≥$100B,251.8,1.501,2125.11,3.91,10.58,8.58,2127.7
FAST,Fastenal Company,Industrials,Industrial - Distribution,L2 · Large $30B-$100B,51.39,0.744,46.46,3.87,5.11,3.66,335.5
CLH,"Clean Harbors, Inc.",Industrials,Waste Management,L3 · Mid $5B-$30B,14.83,0.924,286.63,3.86,1.99,1.37,135.3
STRZ,Starz Entertainment Corp.,Communication Services,Entertainment,L5 · Micro <$1B,0.41,2.521676,27.25,3.85,16.55,20.42,6.4
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,L1 · Mega ≥$100B,256.43,1.493,250.01,3.81,-0.4,7.12,4799.5
MRVL,"Marvell Technology, Inc.",Technology,Semiconductors,L1 · Mega ≥$100B,179.34,2.251,301.65,3.73,47.15,51.81,32760.0
BRUN,Boost Run Inc. Class A Common Stock,Technology,Software - Application,L4 · Small $1B-$5B,2.66,2.6468194,38.1,3.7,11.89,29.68,141.3
AGX,"Argan, Inc.",Industrials,Engineering & Construction,L3 · Mid $5B-$30B,9.46,0.612,686.37,3.5,2.9,1.91,212.1
JCI,Johnson Controls International plc,Industrials,Industrial - Machinery,L2 · Large $30B-$100B,83.07,1.386,146.96,3.5,9.62,6.34,594.9
SSP,The E.W. Scripps Company,Communication Services,Broadcasting,L5 · Micro <$1B,0.41,0.727,3.56,3.49,5.01,4.71,3.5
ADI,"Analog Devices, Inc.",Technology,Semiconductors,L1 · Mega ≥$100B,204.09,1.194,437.67,3.42,5.76,4.99,2479.9
FN,Fabrinet,Technology,"Hardware, Equipment & Parts",L3 · Mid $5B-$30B,23.93,1.217,725.0,3.41,10.83,5.55,498.3
LECO,"Lincoln Electric Holdings, Inc.",Industrials,Manufacturing - Tools & Accessories,L3 · Mid $5B-$30B,14.19,1.248,262.82,3.36,1.68,-0.01,132.6
BMI,"Badger Meter, Inc.",Technology,"Hardware, Equipment & Parts",L4 · Small $1B-$5B,3.64,0.679,129.8,3.32,4.76,3.4,63.7
AAON,"AAON, Inc.",Industrials,Construction,L3 · Mid $5B-$30B,11.65,1.245,148.25,3.31,5.74,6.24,172.5
AEIS,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts,L3 · Mid $5B-$30B,12.06,1.404,322.5,3.27,6.72,-1.78,268.1
CNM,"Core & Main, Inc.",Industrials,Industrial - Distribution,L3 · Mid $5B-$30B,9.25,0.931,52.12,3.25,5.4,5.96,105.1
NTAP,"NetApp, Inc.",Technology,Computer Hardware,L3 · Mid $5B-$30B,28.2,1.267,181.08,3.1,3.9,26.86,621.0
ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking,L2 · Large $30B-$100B,45.93,1.172,236.06,3.05,4.85,7.57,526.9
LGN,Legence Corp. Class A Common stock,Industrials,Engineering & Construction,L3 · Mid $5B-$30B,10.08,3.7986965,88.13,3.03,5.24,0.15,86.4
CLS,Celestica Inc.,Technology,"Hardware, Equipment & Parts",L2 · Large $30B-$100B,40.36,1.478,458.14,-3.02,18.88,28.08,1004.7
CXM,"Sprinklr, Inc.",Technology,Software - Application,L4 · Small $1B-$5B,1.34,0.545,5.45,-3.02,-2.33,3.22,28.5
PSKY,Paramount Skydance Corporation Class B Common Stock,Communication Services,Entertainment,L3 · Mid $5B-$30B,11.76,1.45,10.45,-3.06,-1.51,-1.6,63.5
NP,Neptune Insurance Holdings Inc.,Technology,Software - Application,L4 · Small $1B-$5B,2.65,-0.38526428,24.31,-3.07,-13.4,-14.19,24.4
NAVN,"Navan, Inc.",Technology,Software - Application,L4 · Small $1B-$5B,4.82,0.8584822,22.16,-3.1,3.7,12.15,55.4
KFRC,Kforce Inc.,Industrials,Staffing & Employment Services,L5 · Micro <$1B,0.8,0.882,46.42,-3.11,-1.21,8.03,7.0
PLAB,"Photronics, Inc.",Technology,Semiconductors,L4 · Small $1B-$5B,2.01,1.5074753,32.11,-3.11,-0.74,-39.99,87.2
ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense,L3 · Mid $5B-$30B,5.17,3.131,6.53,-3.12,-4.11,-0.31,335.9
TYL,"Tyler Technologies, Inc.",Technology,Software - Application,L3 · Mid $5B-$30B,12.9,0.864,303.77,-3.12,-3.0,0.4,194.1
