symbol,companyName,sector,industry,mcap_tier,marketCap_B,beta,close_today,ret_1D,ret_3D,ret_1W,dollar_vol_M
MNTN,MNTN Inc.,Communication Services,Advertising Agencies,L5 · Micro <$1B,0.66,0.8590115,9.68,-7.1,2.65,9.38,10.8
WSE,Wise Group plc Class A Ordinary Shares,Industrials,Specialty Business Services,L3 · Mid $5B-$30B,12.77,0.537,10.72,-7.11,-16.05,-15.92,27.3
RUM,Rumble Inc.,Technology,Software - Application,L4 · Small $1B-$5B,4.11,1.027,8.33,-7.13,-9.36,-14.56,20.0
IBM,International Business Machines Corporation,Technology,Information Technology Services,L1 · Mega ≥$100B,248.34,0.581,305.63,-7.17,2.63,19.76,4057.0
PAR,PAR Technology Corporation,Technology,Software - Application,L5 · Micro <$1B,0.63,1.315,14.17,-7.33,-8.23,-4.64,21.1
LZ,"LegalZoom.com, Inc.",Industrials,Specialty Business Services,L4 · Small $1B-$5B,1.08,1.331,6.05,-7.35,-3.82,-5.32,12.1
SAIL,"SailPoint, Inc.",Technology,Software - Infrastructure,L3 · Mid $5B-$30B,9.39,1.0826002,18.38,-7.36,-2.39,18.12,142.0
HUBS,"HubSpot, Inc.",Technology,Software - Application,L3 · Mid $5B-$30B,10.18,1.229,222.45,-7.37,0.82,10.83,438.4
API,"Agora, Inc.",Technology,Software - Application,L5 · Micro <$1B,0.38,0.728314,4.87,-7.41,18.78,15.13,3.3
EVTC,"EVERTEC, Inc.",Technology,Software - Infrastructure,L4 · Small $1B-$5B,1.5,0.807,22.57,-7.42,-7.76,-5.49,18.5
KVYO,"Klaviyo, Inc.",Technology,Software - Infrastructure,L4 · Small $1B-$5B,4.41,0.791,15.69,-7.43,-0.95,10.42,76.9
PANL,"Pangaea Logistics Solutions, Ltd.",Industrials,Marine Shipping,L5 · Micro <$1B,0.5,0.797,7.31,-7.47,-3.43,-10.2,4.4
NVRI,Enviri Corporation,Industrials,Waste Management,L4 · Small $1B-$5B,1.76,1.595,17.75,-7.55,-14.46,-11.52,34.1
BLKB,"Blackbaud, Inc.",Technology,Software - Application,L4 · Small $1B-$5B,1.4,1.087,28.11,-7.56,-8.41,-6.42,21.7
MDB,"MongoDB, Inc.",Technology,Software - Infrastructure,L3 · Mid $5B-$30B,26.22,1.486,368.32,-7.56,9.77,25.08,748.6
AMRC,"Ameresco, Inc.",Industrials,Engineering & Construction,L4 · Small $1B-$5B,1.94,2.546,33.33,-7.6,-7.37,-7.26,19.6
ATOM,Atomera Incorporated,Technology,Semiconductors,L5 · Micro <$1B,0.36,2.013,9.1,-7.61,-8.82,-17.5,14.3
SNOW,Snowflake Inc.,Technology,Software - Application,L2 · Large $30B-$100B,82.91,1.079,241.28,-7.61,-5.58,37.67,2473.7
BTQ,BTQ Technologies Corp. Common Stock,Technology,Software - Infrastructure,L5 · Micro <$1B,0.67,-1.8989135,4.24,-7.63,-12.03,9.0,19.6
NOW,"ServiceNow, Inc.",Technology,Software - Application,L1 · Mega ≥$100B,112.13,0.819,117.9,-7.64,-5.2,15.45,3845.8
KTOS,"Kratos Defense & Security Solutions, Inc.",Industrials,Aerospace & Defense,L3 · Mid $5B-$30B,12.22,1.062,58.43,-7.65,-8.89,1.97,296.5
VERX,"Vertex, Inc.",Technology,Software - Application,L4 · Small $1B-$5B,2.05,0.801,12.79,-7.65,-4.19,1.99,22.1
TSSI,"TSS, Inc.",Technology,Information Technology Services,L5 · Micro <$1B,0.38,2.04,13.93,-7.69,-15.47,11.08,21.9
GRPN,"Groupon, Inc.",Communication Services,Internet Content & Information,L5 · Micro <$1B,0.81,0.107,17.35,-7.71,-14.24,-19.15,32.2
FRMI,Fermi Inc. Common Stock,Utilities,Regulated Electric,L4 · Small $1B-$5B,4.32,1.514274,6.09,-7.73,-12.75,-7.45,70.6
RCAT,"Red Cat Holdings, Inc.",Technology,Computer Hardware,L4 · Small $1B-$5B,1.53,1.216,13.79,-7.76,-4.9,29.24,225.8
ZETA,Zeta Global Holdings Corp.,Technology,Software - Application,L3 · Mid $5B-$30B,5.05,1.292,23.27,-7.84,1.66,19.58,244.9
OKTA,"Okta, Inc.",Technology,Software - Infrastructure,L3 · Mid $5B-$30B,15.88,0.592,124.65,-7.89,1.12,39.27,757.0
QBTS,D-Wave Quantum Inc.,Technology,Computer Hardware,L3 · Mid $5B-$30B,10.83,1.945,27.55,-7.89,-8.59,0.25,1137.8
MITK,"Mitek Systems, Inc.",Technology,Software - Application,L5 · Micro <$1B,0.76,0.955,16.18,-7.91,-5.82,-5.88,17.8
PAYS,"PaySign, Inc.",Technology,Software - Infrastructure,L5 · Micro <$1B,0.4,0.723,6.81,-7.97,-6.33,-4.22,4.1
BLSH,Bullish,Technology,Software - Infrastructure,L3 · Mid $5B-$30B,5.43,-0.071586974,28.1,-7.99,-19.51,-18.12,43.2
ELVA,Electrovaya Inc.,Industrials,Electrical Equipment & Parts,L5 · Micro <$1B,0.46,0.511,11.28,-7.99,-3.51,-2.51,5.0
CHTR,"Charter Communications, Inc.",Communication Services,Telecommunications Services,L3 · Mid $5B-$30B,18.11,0.757,129.01,-8.03,-10.44,-12.35,560.7
ASAN,"Asana, Inc.",Technology,Software - Application,L4 · Small $1B-$5B,1.58,0.954,7.97,-8.18,3.51,24.34,50.5
ENLT,Enlight Renewable Energy Ltd,Utilities,Renewable Utilities,L3 · Mid $5B-$30B,14.31,0.865,95.95,-8.23,-10.68,-6.39,28.9
LBRDA,Liberty Broadband Corporation,Communication Services,Telecommunications Services,L4 · Small $1B-$5B,4.95,0.701,30.09,-8.26,-10.92,-12.76,6.8
FLY,Firefly Aerospace Inc.,Industrials,Aerospace & Defense,L3 · Mid $5B-$30B,7.91,-1.1435186,39.78,-8.28,-14.43,-30.55,298.5
PD,"PagerDuty, Inc.",Technology,Software - Application,L5 · Micro <$1B,0.68,0.781,9.3,-8.28,-6.53,29.35,23.9
BRZE,"Braze, Inc.",Technology,Software - Application,L4 · Small $1B-$5B,2.63,0.773,23.56,-8.29,-8.08,-4.15,62.7
CRTO,Criteo S.A.,Communication Services,Advertising Agencies,L5 · Micro <$1B,0.92,0.338,17.15,-8.34,-6.03,-4.03,4.9
SOUN,"SoundHound AI, Inc.",Technology,Software - Application,L4 · Small $1B-$5B,3.7,2.763,8.08,-8.39,-10.22,0.0,225.7
FUBO,fuboTV Inc.,Communication Services,Broadcasting,L4 · Small $1B-$5B,1.14,2.508,9.82,-8.4,-2.68,-0.3,12.9
CXDO,"Crexendo, Inc.",Communication Services,Telecommunications Services,L5 · Micro <$1B,0.32,0.93,9.18,-8.47,-7.09,-6.13,8.1
EFOR,"Everforth, Inc.",Technology,Information Technology Services,L5 · Micro <$1B,0.86,0.457,20.53,-8.47,-9.48,2.39,17.8
STGW,Stagwell Inc.,Communication Services,Advertising Agencies,L4 · Small $1B-$5B,1.74,1.227,6.59,-8.47,-5.99,-5.72,11.4
BILL,"Bill.com Holdings, Inc.",Technology,Software - Application,L4 · Small $1B-$5B,3.47,1.223,35.2,-8.5,-4.92,1.44,116.0
DXC,DXC Technology Company,Technology,Information Technology Services,L4 · Small $1B-$5B,1.52,0.852,9.15,-8.5,-7.67,-2.03,32.8
SLDP,"Solid Power, Inc.",Industrials,Electrical Equipment & Parts,L5 · Micro <$1B,0.63,1.921,3.32,-8.54,0.3,-1.19,21.8
ASST,"Strive, Inc.",Communication Services,Asset Management,L4 · Small $1B-$5B,1.6,-0.22884317,14.74,-8.56,-16.58,-17.28,71.7
QUBT,"Quantum Computing, Inc.",Technology,Computer Hardware,L4 · Small $1B-$5B,1.67,3.698,11.2,-8.57,-6.35,-1.93,241.0
UIS,Unisys Corporation,Technology,Information Technology Services,L5 · Micro <$1B,0.28,1.607,4.22,-8.66,-8.06,8.76,6.2
PGY,Pagaya Technologies Ltd.,Technology,Software - Infrastructure,L4 · Small $1B-$5B,1.16,5.438,13.96,-8.7,-7.67,2.27,55.2
AMSC,American Superconductor Corporation,Industrials,Industrial - Machinery,L4 · Small $1B-$5B,2.45,3.283,46.67,-8.79,-8.38,-11.41,68.1
PRCH,"Porch Group, Inc.",Technology,Software - Application,L4 · Small $1B-$5B,1.13,3.227,9.94,-8.81,-4.61,-2.26,16.4
PAYP,PayPay Corporation,Technology,Software - Infrastructure,L3 · Mid $5B-$30B,13.19,,17.05,-8.82,-12.65,-11.75,32.2
SPT,"Sprout Social, Inc.",Technology,Software - Application,L5 · Micro <$1B,0.42,0.939,7.24,-8.82,-3.21,7.26,9.8
ASTS,"AST SpaceMobile, Inc.",Technology,Communication Equipment,L2 · Large $30B-$100B,54.15,2.598,107.73,-8.83,-5.01,-16.87,1875.4
LITE,Lumentum Holdings Inc.,Technology,Communication Equipment,L2 · Large $30B-$100B,66.96,1.533,938.0,-8.86,9.71,3.96,5469.1
YEXT,"Yext, Inc.",Technology,Software - Application,L5 · Micro <$1B,0.5,1.142,3.83,-9.03,-8.37,-2.79,11.2
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,L3 · Mid $5B-$30B,13.56,3.759,184.07,-9.04,16.2,2.36,1775.0
GTM,ZoomInfo Technologies Inc.,Technology,Software - Application,L5 · Micro <$1B,0.95,1.044,3.12,-9.04,-6.31,-4.0,66.8
